model,accuracy,accuracy_std,f1_macro,f1_macro_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std
LinearSVM,0.7729760483821014,0.005399044902156924,0.7676280708060809,0.004545615718669179,0.7677240402960737,0.005230601827113615,0.7702118914924264,0.004338948151514032
RandomForest,0.7678053423293356,0.006884284765031324,0.7629759217670727,0.006619802069885189,0.7671735750338,0.006187291276941194,0.7692504836854531,0.006118515792865306
MultinomialNB,0.6382419736409508,0.011581021139481309,0.5913892795820412,0.015471017737787416,0.6992017453024725,0.01731464292179942,0.5855912590053034,0.01312554478844527
