model,accuracy,macro_f1,weighted_f1
Logistic Regression,1.0,1.0,1.0
Linear SVM,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0
Naive Bayes,0.78125,0.43859649122807015,0.6853070175438596
