topic,top_words
Topic 1,"time, changed, lot, pattern, usage, recurring, closer, annoyance, pushed, value"
Topic 2,"pricing, daily, interact, concern, design, simple, innovation, break, limited, okay"
Topic 3,"time, price, worked, feature, improvement, stopped, routine, point, value, definitely"
Topic 4,"time, occasional, pricing, feature, perspective, high, interface, decent, slightly, polite"
Topic 5,"value, started, point, usage, definitely, worked, price, busy, dropped, later"
