term,frequency
gradually,194
decision,160
time,146
influenced,127
feature,99
pricing,97
started,95
value,83
point,76
routine,75
worked,67
price,67
main,65
definitely,64
improvement,62
new,62
quality,60
initially,58
kept,58
daily,58
