term,frequency
gradually,194
decision,160
time,146
app,131
influenced,127
didn,101
started,95
point,76
routine,75
plan,68
price,67
worked,67
main,65
definitely,64
monthly,62
new,62
improvements,62
kept,58
initially,58
stopped,58
